country,year,military_expenditures_usd_2022,military_expenditures_current_usd,share_GDP,share_govt
Belgium,1996,5926088247.28319,4241865967.6150074,0.0154010265143451,0.028638154885472
Belgium,1997,5851565864.504224,3684095388.8761086,0.0147697579587888,0.0282523348322379
Belgium,1998,5849946082.757731,3664288413.238204,0.0146391926511004,0.0278141449588338
Belgium,1999,5926169707.159978,3598447519.6217456,0.0138583555922091,0.0276042432860949
Belgium,2000,5925752849.65956,3190805233.0937905,0.013412102764288,0.0273463038706315
Belgium,2001,5665237069.445318,3036035471.718374,0.0127650416647227,0.0259930895523531
Belgium,2002,5493373921.084653,3147146016.658039,0.0121571220776463,0.0245226012730632
Belgium,2003,5552986940.025239,3875697772.3202496,0.0121498815616525,0.0239228116618482
Belgium,2004,5437333599.827082,4262663512.817169,0.0114927213880448,0.0234513757958302
Belgium,2005,5239338114.96707,4228224643.0880966,0.0109664118158571,0.0211453306134633
Belgium,2006,5198613530.233327,4307895340.974809,0.0105612306878485,0.0216466316605626
Belgium,2007,5609548645.817127,5163979973.66685,0.0109801876439276,0.0226102797969689
Belgium,2008,6115544144.141215,6295821584.209177,0.0122191451658895,0.0240650843509762
Belgium,2009,5760039249.6591835,5620670062.777577,0.0116776843665649,0.0213561075511733
Belgium,2010,5516826544.120591,5244720513.346887,0.010904882165313,0.0202398110950964
Belgium,2011,5323233030.654092,5499370964.266601,0.0105221776971325,0.0190259081312191
Belgium,2012,5263911527.592145,5168997833.723503,0.0104175649000309,0.0184454979780102
Belgium,2013,5129615187.26993,5263164882.846783,0.0100895947872123,0.0179797704903161
Belgium,2014,5046460515.829865,5191507314.943925,0.0097095979114811,0.0174633706581454
Belgium,2015,4859260706.174769,4202062770.322724,0.0090928420206891,0.0169264376750606
Belgium,2016,4839403460.676672,4255489554.6162353,0.0089470623618152,0.0168438746164385
Belgium,2017,4842473050.573205,4432808395.991387,0.0088356344600304,0.0169817024455758
Belgium,2018,4948255194.744611,4840126057.85914,0.008913580848028,0.0170545569483376
Belgium,2019,5058982932.626238,4761195700.850873,0.008884293808633,0.0171177517127009
Belgium,2020,5508644614.030302,5317451270.944945,0.0101248470692311,0.0172189781560744
Belgium,2021,6081731889.327812,6239356669.820246,0.0103872662668212,0.0189472020915182
Belgium,2022,6890161299.822461,6890161299.822461,0.0118239642570097,0.0222658029080477
Belgium,2023,7245192387.182248,7629396588.6059265,0.0121461599569105,0.022165166871208
Bosnia and Herzegovina,1993,,,,
Bosnia and Herzegovina,1994,,,,
Bosnia and Herzegovina,1995,,,,
Bosnia and Herzegovina,1996,,,,
Bosnia and Herzegovina,1997,,,,
Bosnia and Herzegovina,1998,,,,
Bosnia and Herzegovina,1999,,,,
Bosnia and Herzegovina,2000,,,,
Bosnia and Herzegovina,2001,,,,
Bosnia and Herzegovina,2002,387358127.2656033,241025517.64292625,0.0390437290513679,0.0755265379975874
Bosnia and Herzegovina,2003,269613015.3934648,202282838.8913574,0.0241669769045156,0.0503363009764503
Bosnia and Herzegovina,2004,241741452.38800097,200100307.27037254,0.0188960280811559,0.0432063056888279
Bosnia and Herzegovina,2005,201815926.53768456,173304847.6524747,0.0154421965764077,0.034676844783715
Bosnia and Herzegovina,2006,194032412.84826565,178375570.0513768,0.0138653346855638,0.0313458070333633
Bosnia and Herzegovina,2007,191593782.02925855,195049685.09447166,0.0123615289583956,0.0273448445011282
Bosnia and Herzegovina,2008,199313723.84106335,233292390.65308568,0.012206120604463,0.0252301960149036
Bosnia and Herzegovina,2009,219270052.72047308,242471357.8475591,0.0137658621151299,0.0281081103334705
Bosnia and Herzegovina,2010,204515376.44716448,219915489.52422228,0.0128034144398165,0.0263004535147392
Bosnia and Herzegovina,2011,181079692.6853009,211878260.6223435,0.0113643026444416,0.0245006986109969
Bosnia and Herzegovina,2012,178806503.26198837,197344650.21251994,0.01145571920895,0.0244406476283459
Bosnia and Herzegovina,2013,173432253.71501756,197617188.82590544,0.0108705579799921,0.0244478038128831
Bosnia and Herzegovina,2014,168721877.74241987,190380454.64127472,0.0102582688734533,0.0222141047965806
Bosnia and Herzegovina,2015,173776407.61646292,162215681.88047117,0.0098885762250917,0.0231651145841768
Bosnia and Herzegovina,2016,172383632.88610965,157912010.5787029,0.0092277227006919,0.0222585478600462
Bosnia and Herzegovina,2017,166020424.35193214,156258302.09392852,0.0085259356226498,0.0213250491545418
Bosnia and Herzegovina,2018,172140173.40380058,172073317.81494942,0.0084004735664613,0.0207818513119533
Bosnia and Herzegovina,2019,173441952.2893244,165369204.35031483,0.0080732422488532,0.020226843100189
Bosnia and Herzegovina,2020,174313943.1775855,167521865.88921282,0.0082729828315988,0.0182285387982996
Bosnia and Herzegovina,2021,172567832.5043921,175574365.17533255,0.0074257677490516,0.0186082276047673
Bosnia and Herzegovina,2022,166545042.71716332,166545042.7171633,0.0067909772731625,0.0175090456806874
Bosnia and Herzegovina,2023,199986238.04070908,216702019.5324584,0.0080838231949891,0.0193108540487324
Bulgaria,1993,1134817604.5511186,282674243.3027949,0.026092716117939,
