Country,Year,military_expenditures_usd,military_expenditures_pct_gdp,military_expenditures_pct_govt,Capital City,Latitude,Longitude
Poland,1993,2123.378415677615,0.024691873154448582,,Warszawa (Warsaw),52.2298,21.0118
Romania,1993,722.4515197006516,0.02740608014693772,0.08110782865583456,Bucuresti (Bucharest),44.4328,26.1043
Serbia,1993,,,,Beograd (Belgrade),44.8176,20.4633
Slovakia,1993,266.8990365786794,0.01996360321465556,,Bratislava,48.1482,17.1067
Slovenia,1993,230.3036715691461,0.018173013500763956,,Ljubljana,46.0511,14.5051
Belarus,1993,0.0,0.027909714610481876,,Minsk,53.9,27.5667
Moldova,1993,0.0,0.0053006715758144845,,,,
Russia,1993,7766.720078413419,0.041813246471226924,,,,
Ukraine,1993,152.2338665195808,0.0043464581913377764,,Kyiv (Kiev),50.4454,30.5186
Austria,1993,2115.1152666843323,0.01115584541342515,0.020575137225118237,Wien (Vienna),48.2064,16.3707
Belgium,1993,3746.042850896371,0.01735965893433189,0.030054445442299058,Bruxelles-Brussel,50.8467,4.3499
Cyprus,1993,268.2772716201476,0.04074952604994773,,Lefkosia (Nicosia),35.1595,33.3669
Denmark,1993,2682.011246248423,0.019071976696874018,0.031587685343786275,København (Copenhagen),55.6759,12.5655
Finland,1993,1615.4248088448671,0.018680115065657234,0.02847758674471091,Helsinki,60.1692,24.9402
France,1993,35775.273292887345,0.02689534806436364,0.04898759129407799,Paris,48.8534,2.3488
Germany,1993,35030.53758937248,0.016935383226344247,0.03506704285679938,Berlin,52.5244,13.4105
Greece,1993,3364.413329766045,0.03600124695617044,0.0811759431932291,Athínai (Athens),37.9534,23.749
Iceland,1993,0.0,,,Reykjavík,64.1355,-21.8954
Ireland,1993,597.7237655666921,0.011392251487010195,0.026169746957894202,Dublin,53.3331,-6.2489
Italy,1993,18242.013901278526,0.017867679733127004,0.030109301565187718,Roma (Rome),41.8947,12.4811
Luxembourg,1993,97.65306970687459,0.007071544338300317,,Luxembourg,49.6117,6.13
Malta,1993,24.637705571557714,0.010019610478445068,,Valletta,35.8997,14.5147
Netherlands,1993,7054.8689618513345,0.02027829408454547,0.03893461676979996,Amsterdam,52.374,4.8897
Norway,1993,3175.5831934289336,0.026873498445660136,0.052428616976464365,Oslo,59.9127,10.7461
Portugal,1993,1655.575218565631,0.017865070658018102,0.03760432443374769,Lisboa (Lisbon),38.7169,-9.1399
Spain,1993,10041.511353191667,0.020118717370405007,0.04116269971004861,Madrid,40.4165,-3.7026
Sweden,1993,4752.6604594632445,0.022637108040909817,0.032944152038971566,Stockholm,59.3326,18.0649
Switzerland,1993,3611.2126257089103,0.01366964345184115,0.04090612901989345,Bern,46.9481,7.4474
United Kingdom,1993,38113.2067914603,0.03590649512479788,0.0871951695905988,London,51.5085,-0.1257
Albania,1994,49.649504931660594,0.025478190603764786,,Tiranë (Tirana),41.3275,19.8189
Bosnia and Herzegovina,1994,,,,Sarajevo,43.8486,18.3564
Bulgaria,1994,241.99343477353293,0.02492617286205742,,Sofia,42.6975,23.3242
Croatia,1994,1472.678523612818,0.11148177289424208,0.20611680877913272,Zagreb,45.8144,15.978
Estonia,1994,25.13573537984227,0.010416302736587824,,Tallinn,59.437,24.7535
Hungary,1994,757.1319893495627,0.018241343838563417,,Budapest,47.498,19.0399
Kosovo,1994,,,,,,
Latvia,1994,33.900348043573246,0.008387572269665307,,Riga,56.946,24.1059
Lithuania,1994,21.06227138457671,0.0049337759849243275,0.013548015344459917,Vilnius,54.6892,25.2798
North Macedonia,1994,,,,,,
Montenegro,1994,,,,Podgorica,42.4411,19.2636
Poland,1994,2251.9231784815256,0.022732321033505407,,Warszawa (Warsaw),52.2298,21.0118
Romania,1994,936.6862225014955,0.031147284080589553,0.09316706730769232,Bucuresti (Bucharest),44.4328,26.1043
Serbia,1994,,,,Beograd (Belgrade),44.8176,20.4633
Slovakia,1994,299.99341913527434,0.019395190144638644,,Bratislava,48.1482,17.1067
Slovenia,1994,237.94950410132668,0.01654074662266147,,Ljubljana,46.0511,14.5051
Belarus,1994,0.0,0.036216082548389275,,Minsk,53.9,27.5667
Moldova,1994,0.0,0.007737940672902958,,,,
Russia,1994,13547.871733424627,0.04523700655387898,,,,
Ukraine,1994,919.0446820593928,0.02417771794792689,,Kyiv (Kiev),50.4454,30.5186
Austria,1994,2227.5605501315576,0.01094453076227029,0.020262791640639554,Wien (Vienna),48.2064,16.3707
Belgium,1994,3944.101812832709,0.016771431501230515,0.03030957256562549,Bruxelles-Brussel,50.8467,4.3499
